random_state,enlr_base_accuracy,enlr_base_recall,enlr_base_f1,enlr_base_pr_auc,enlr_single_pass_accuracy,enlr_single_pass_recall,enlr_single_pass_f1,enlr_single_pass_pr_auc,enlr_multi_agent_all_accuracy,enlr_multi_agent_all_recall,enlr_multi_agent_all_f1,enlr_multi_agent_all_pr_auc,enlr_multi_agent_lc_accuracy,enlr_multi_agent_lc_recall,enlr_multi_agent_lc_f1,enlr_multi_agent_lc_pr_auc,enlr_multi_agent_cc_accuracy,enlr_multi_agent_cc_recall,enlr_multi_agent_cc_f1,enlr_multi_agent_cc_pr_auc,enlr_multi_agent_ls_accuracy,enlr_multi_agent_ls_recall,enlr_multi_agent_ls_f1,enlr_multi_agent_ls_pr_auc
21,0.9248719408081958,0.918918918918919,0.6071428571428572,0.8375805649199815,0.92942515651679,0.9009009009009009,0.6172839506172839,0.8693445789953436,0.9243027888446215,0.9099099099099099,0.6029850746268657,0.8627384649417567,0.9277177006260672,0.9099099099099099,0.6139817629179332,0.850537779544406,0.9248719408081958,0.918918918918919,0.6071428571428572,0.8555469782797513,0.9271485486624929,0.918918918918919,0.6144578313253012,0.855325179787094
22,0.9260102447353443,0.8558558558558559,0.59375,0.8136965956423027,0.9322709163346613,0.8738738738738738,0.6198083067092651,0.8140271805216722,0.9277177006260672,0.8738738738738738,0.6043613707165109,0.8222228706451465,0.9311326124075128,0.8648648648648649,0.6134185303514377,0.8249110922996721,0.9322709163346613,0.8738738738738738,0.6198083067092651,0.8323263947914037,0.9288560045532157,0.8828828828828829,0.6105919003115264,0.8142929039380084
23,0.9391007398975526,0.8738738738738738,0.6445182724252492,0.8092485129031982,0.9391007398975526,0.8918918918918919,0.6491803278688525,0.8105534495108263,0.9396698918611269,0.8648648648648649,0.6442953020134229,0.8165919933829252,0.9402390438247012,0.8648648648648649,0.6464646464646465,0.8156562805704408,0.935685828116107,0.8558558558558559,0.6270627062706271,0.8249341887562386,0.9373932840068299,0.8738738738738738,0.6381578947368421,0.8088688834197043
24,0.9368241320432555,0.9009009009009009,0.6430868167202571,0.8332779548552534,0.9391007398975526,0.9009009009009009,0.6514657980456026,0.8207278984497749,0.9402390438247012,0.9009009009009009,0.6557377049180327,0.8347103975668291,0.9339783722253842,0.8828828828828829,0.6282051282051281,0.8357078333536356,0.9379624359704041,0.9099099099099099,0.6495176848874599,0.8431390420197689,0.9402390438247012,0.918918918918919,0.6601941747572816,0.8365060870166233
25,0.9317017643710871,0.9459459459459459,0.6363636363636364,0.8410539609071869,0.9311326124075128,0.9459459459459459,0.6344410876132931,0.8274047598318381,0.9322709163346613,0.9279279279279279,0.6338461538461537,0.822618708918902,0.93340922026181,0.9459459459459459,0.6422018348623854,0.8286586940396423,0.9351166761525327,0.9369369369369369,0.6459627329192547,0.8298217503743583,0.93340922026181,0.963963963963964,0.6465256797583082,0.8363452509931065
26,0.9117814456459875,0.8288288288288288,0.5427728613569321,0.7322543587528316,0.9049516220830962,0.8648648648648649,0.5348189415041782,0.7453394844794645,0.9100739897552647,0.8558558558558559,0.5459770114942529,0.7584258890933587,0.9112122936824132,0.8558558558558559,0.5491329479768786,0.7415416350776154,0.9112122936824132,0.8558558558558559,0.5491329479768786,0.7508592525597472,0.9146272054638589,0.8378378378378378,0.5535714285714286,0.7336609233617237
27,0.9288560045532157,0.8288288288288288,0.5954692556634305,0.7379408321168933,0.9260102447353443,0.8198198198198198,0.5833333333333334,0.7381087305770156,0.9288560045532157,0.8198198198198198,0.5928338762214984,0.7279765324087398,0.92942515651679,0.8288288288288288,0.5974025974025974,0.7293479041971882,0.9288560045532157,0.8108108108108109,0.5901639344262296,0.7294907566511216,0.9282868525896414,0.7747747747747747,0.5771812080536913,0.7336439702017522
28,0.9305634604439386,0.9099099099099099,0.6234567901234568,0.8744574021697786,0.92942515651679,0.9099099099099099,0.6196319018404908,0.8541671970903847,0.9299943084803642,0.9099099099099099,0.6215384615384615,0.8763071292364479,0.9260102447353443,0.9099099099099099,0.608433734939759,0.874147496455745,0.9311326124075128,0.918918918918919,0.6276923076923077,0.875696131370442,0.9305634604439386,0.9099099099099099,0.6234567901234568,0.8752749210841567
29,0.9413773477518498,0.8558558558558559,0.6484641638225256,0.8008824185088582,0.9408081957882755,0.8648648648648649,0.6486486486486487,0.8066787995951819,0.9476380193511668,0.8738738738738738,0.6783216783216783,0.8061342756153999,0.9413773477518498,0.8738738738738738,0.6531986531986532,0.7951715464157896,0.9436539556061468,0.8648648648648649,0.6597938144329898,0.8053834681588551,0.9425156516789983,0.8468468468468469,0.6505190311418685,0.8052218656599112
30,0.9368241320432555,0.918918918918919,0.6476190476190476,0.8374206149773203,0.93340922026181,0.918918918918919,0.6355140186915889,0.8007230715137351,0.935685828116107,0.918918918918919,0.6435331230283912,0.8426856007128452,0.9311326124075128,0.9099099099099099,0.6253869969040248,0.8393517390822296,0.9288560045532157,0.918918918918919,0.6200607902735562,0.8447628203779535,0.9339783722253842,0.9279279279279279,0.6397515527950312,0.8341181545824957
