random_state,rf_base_accuracy,rf_base_recall,rf_base_f1,rf_base_pr_auc,rf_single_pass_accuracy,rf_single_pass_recall,rf_single_pass_f1,rf_single_pass_pr_auc,rf_multi_agent_all_accuracy,rf_multi_agent_all_recall,rf_multi_agent_all_f1,rf_multi_agent_all_pr_auc,rf_multi_agent_lc_accuracy,rf_multi_agent_lc_recall,rf_multi_agent_lc_f1,rf_multi_agent_lc_pr_auc,rf_multi_agent_cc_accuracy,rf_multi_agent_cc_recall,rf_multi_agent_cc_f1,rf_multi_agent_cc_pr_auc,rf_multi_agent_ls_accuracy,rf_multi_agent_ls_recall,rf_multi_agent_ls_f1,rf_multi_agent_ls_pr_auc
41,0.9795105293113261,0.7027027027027027,0.8125,0.8857311161488379,0.9800796812749004,0.7027027027027027,0.8167539267015707,0.904767861016158,0.9789413773477519,0.7027027027027027,0.8082901554404146,0.8997219109729401,0.9806488332384746,0.7207207207207207,0.8247422680412371,0.8967272691368751,0.9800796812749004,0.7207207207207207,0.8205128205128205,0.8884826178603961,0.9800796812749004,0.7207207207207207,0.8205128205128205,0.8926880066702352
42,0.9823562891291975,0.7207207207207207,0.837696335078534,0.9132543041835987,0.981217985202049,0.7117117117117117,0.8272251308900522,0.9274958539629672,0.9800796812749004,0.6936936936936937,0.8148148148148149,0.9175673779761918,0.981217985202049,0.7027027027027027,0.8253968253968255,0.9170098111069026,0.9800796812749004,0.6936936936936937,0.8148148148148149,0.9067482194582037,0.9817871371656233,0.7117117117117117,0.8315789473684211,0.924343910177086
43,0.977233921457029,0.6576576576576577,0.7849462365591398,0.9064792612033129,0.9778030734206034,0.6756756756756757,0.7936507936507937,0.9100473874215836,0.9806488332384746,0.6936936936936937,0.8191489361702128,0.9126332916953066,0.9795105293113261,0.6756756756756757,0.8064516129032258,0.9014909303997634,0.9789413773477519,0.6846846846846847,0.8042328042328043,0.9111702939093892,0.977233921457029,0.6576576576576577,0.7849462365591398,0.9004504109194076
44,0.9800796812749004,0.6936936936936937,0.8148148148148149,0.920576923010411,0.981217985202049,0.7117117117117117,0.8272251308900522,0.9268582657116066,0.9829254410927718,0.7387387387387387,0.8453608247422681,0.9179883644326692,0.9800796812749004,0.6936936936936937,0.8148148148148149,0.9231936625626405,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9152307020945711,0.9795105293113261,0.6936936936936937,0.8105263157894738,0.9236672908405844
45,0.9800796812749004,0.7117117117117117,0.8186528497409327,0.8900518923284264,0.981217985202049,0.7207207207207207,0.8290155440414507,0.9067116155600996,0.9795105293113261,0.7117117117117117,0.8144329896907216,0.896619185067909,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9049460346499792,0.9823562891291975,0.7477477477477478,0.8426395939086295,0.8988185333354317,0.9789413773477519,0.6846846846846847,0.8042328042328043,0.8948104428542093
46,0.9823562891291975,0.7207207207207207,0.837696335078534,0.9278690648914188,0.9817871371656233,0.7477477477477478,0.8383838383838385,0.9330622608931577,0.9823562891291975,0.7207207207207207,0.837696335078534,0.9272153933528933,0.9829254410927718,0.7297297297297297,0.8437499999999999,0.9253431021206633,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9274663987686791,0.983494593056346,0.7477477477477478,0.8512820512820515,0.9314921573016501
47,0.9817871371656233,0.7297297297297297,0.8350515463917526,0.9429575609930042,0.9829254410927718,0.7837837837837838,0.8529411764705881,0.9394992268009872,0.9857712009106432,0.7837837837837838,0.8743718592964823,0.9498851556244454,0.9829254410927718,0.7567567567567568,0.8484848484848485,0.9421111491980192,0.9846328969834945,0.7657657657657657,0.8629441624365481,0.9448228916163108,0.9829254410927718,0.7477477477477478,0.8469387755102041,0.9435742316966304
48,0.9852020489470689,0.7657657657657657,0.8673469387755102,0.9409469639951537,0.9840637450199203,0.7747747747747747,0.86,0.9443395569791256,0.9829254410927718,0.7297297297297297,0.8437499999999999,0.9277291597852673,0.983494593056346,0.7477477477477478,0.8512820512820515,0.9433373865418142,0.9829254410927718,0.7477477477477478,0.8469387755102041,0.9403578868994311,0.983494593056346,0.7387387387387387,0.8497409326424871,0.9431690828182067
49,0.9789413773477519,0.6936936936936937,0.806282722513089,0.8913356885992825,0.977233921457029,0.6846846846846847,0.7916666666666666,0.9061751556562928,0.977233921457029,0.6936936936936937,0.7938144329896908,0.8901162680615609,0.9789413773477519,0.7027027027027027,0.8082901554404146,0.9016490626007845,0.9783722253841776,0.6936936936936937,0.8020833333333333,0.8956971620009226,0.9795105293113261,0.7027027027027027,0.8125,0.8884444310143917
50,0.981217985202049,0.7207207207207207,0.8290155440414507,0.9400037272615511,0.981217985202049,0.7207207207207207,0.8290155440414507,0.9390645431117826,0.983494593056346,0.7477477477477478,0.8512820512820515,0.9434510711992851,0.9829254410927718,0.7387387387387387,0.8453608247422681,0.9441376707011967,0.9806488332384746,0.7027027027027027,0.8210526315789474,0.9419531006891948,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9375449987142206
