random_state,xgb_base_accuracy,xgb_base_recall,xgb_base_f1,xgb_base_pr_auc,xgb_single_pass_accuracy,xgb_single_pass_recall,xgb_single_pass_f1,xgb_single_pass_pr_auc,xgb_multi_agent_all_accuracy,xgb_multi_agent_all_recall,xgb_multi_agent_all_f1,xgb_multi_agent_all_pr_auc,xgb_multi_agent_lc_accuracy,xgb_multi_agent_lc_recall,xgb_multi_agent_lc_f1,xgb_multi_agent_lc_pr_auc,xgb_multi_agent_cc_accuracy,xgb_multi_agent_cc_recall,xgb_multi_agent_cc_f1,xgb_multi_agent_cc_pr_auc,xgb_multi_agent_ls_accuracy,xgb_multi_agent_ls_recall,xgb_multi_agent_ls_f1,xgb_multi_agent_ls_pr_auc
21,0.9817871371656233,0.8108108108108109,0.8490566037735849,0.9217111608021228,0.9823562891291975,0.8198198198198198,0.8544600938967136,0.9292696760778599,0.9846328969834945,0.8378378378378378,0.8732394366197184,0.9333606902312643,0.9817871371656233,0.7927927927927928,0.8461538461538461,0.9213234322360804,0.9846328969834945,0.8378378378378378,0.8732394366197184,0.9318344409020954,0.9817871371656233,0.8018018018018018,0.8476190476190476,0.9249678733082719
22,0.9789413773477519,0.7657657657657657,0.8212560386473429,0.8922921732846161,0.981217985202049,0.7657657657657657,0.8374384236453201,0.9050274678232274,0.981217985202049,0.7657657657657657,0.8374384236453201,0.9048662492263729,0.9800796812749004,0.7657657657657657,0.8292682926829268,0.8922704785714678,0.9789413773477519,0.7477477477477478,0.8177339901477833,0.9043239666093325,0.977233921457029,0.7297297297297297,0.8019801980198019,0.9008554251374675
23,0.983494593056346,0.8018018018018018,0.8599033816425121,0.9151913886031782,0.983494593056346,0.8018018018018018,0.8599033816425121,0.9134994318902852,0.9823562891291975,0.7657657657657657,0.845771144278607,0.9148229235951019,0.9817871371656233,0.7747747747747747,0.8431372549019608,0.9111329495557486,0.983494593056346,0.7837837837837838,0.8571428571428571,0.9221328833293453,0.981217985202049,0.7837837837837838,0.8405797101449275,0.9148423568060698
24,0.9823562891291975,0.8018018018018018,0.8516746411483254,0.9187646367634895,0.9823562891291975,0.7927927927927928,0.8502415458937198,0.9366977071361626,0.981217985202049,0.7657657657657657,0.8374384236453201,0.9320208789417412,0.9829254410927718,0.7837837837837838,0.8529411764705881,0.9363045873725477,0.9817871371656233,0.7927927927927928,0.8461538461538461,0.9394873098692509,0.983494593056346,0.7927927927927928,0.8585365853658538,0.9335059740714939
25,0.9817871371656233,0.7747747747747747,0.8431372549019608,0.9177349904858061,0.9823562891291975,0.7927927927927928,0.8502415458937198,0.9260428642443158,0.9817871371656233,0.7837837837837838,0.8446601941747574,0.9271879504690227,0.9817871371656233,0.7657657657657657,0.8415841584158416,0.9281963478448767,0.9800796812749004,0.7567567567567568,0.8275862068965518,0.9258063713236585,0.983494593056346,0.7747747747747747,0.8557213930348259,0.9289337161038346
26,0.9778030734206034,0.7387387387387387,0.8078817733990147,0.8916238596983506,0.977233921457029,0.7747747747747747,0.8113207547169811,0.8952378272199181,0.9783722253841776,0.7657657657657657,0.8173076923076923,0.8976822617395798,0.9783722253841776,0.7657657657657657,0.8173076923076923,0.899635787343975,0.9778030734206034,0.7567567567567568,0.8115942028985507,0.894689420045572,0.9800796812749004,0.7747747747747747,0.8309178743961353,0.895493087664981
27,0.9766647694934547,0.6666666666666666,0.783068783068783,0.8671654964219118,0.9743881616391576,0.6666666666666666,0.7668393782383419,0.8495520307459592,0.9721115537848606,0.6126126126126126,0.7351351351351352,0.8348501143830451,0.9743881616391576,0.6666666666666666,0.7668393782383419,0.8457905336725179,0.9743881616391576,0.6486486486486487,0.7619047619047619,0.8384740767324349,0.9743881616391576,0.6486486486486487,0.7619047619047619,0.8511889868745479
28,0.9846328969834945,0.8018018018018018,0.8682926829268293,0.9381711043599771,0.9874786568013659,0.8378378378378378,0.8942307692307693,0.9483066511709165,0.9880478087649402,0.8378378378378378,0.8985507246376812,0.9481478073092575,0.9840637450199203,0.7927927927927928,0.8627450980392158,0.9388716164975717,0.9874786568013659,0.8378378378378378,0.8942307692307693,0.9399074870151105,0.9863403528742174,0.8108108108108109,0.8823529411764706,0.9408968910963975
29,0.9857712009106432,0.8108108108108109,0.878048780487805,0.9316130680318568,0.9829254410927718,0.7837837837837838,0.8529411764705881,0.9371355494842548,0.9840637450199203,0.8198198198198198,0.8666666666666667,0.9331945307286671,0.9846328969834945,0.8108108108108109,0.8695652173913043,0.929448142627807,0.9829254410927718,0.8108108108108109,0.8571428571428571,0.926600569310942,0.9817871371656233,0.7747747747747747,0.8431372549019608,0.9340387918744439
30,0.9817871371656233,0.7747747747747747,0.8431372549019608,0.9040862590921074,0.981217985202049,0.7657657657657657,0.8374384236453201,0.9117644453941307,0.981217985202049,0.7657657657657657,0.8374384236453201,0.9082107753754128,0.9840637450199203,0.7927927927927928,0.8627450980392158,0.9091630178849359,0.9823562891291975,0.7837837837837838,0.848780487804878,0.9010319531975285,0.9829254410927718,0.7747747747747747,0.8514851485148515,0.9064130555699252
31,0.9795105293113261,0.7657657657657657,0.825242718446602,0.907433747928209,0.9778030734206034,0.7567567567567568,0.8115942028985507,0.8906454735696765,0.9783722253841776,0.7477477477477478,0.8137254901960784,0.8927802361369375,0.9795105293113261,0.7477477477477478,0.8217821782178218,0.898107029965392,0.9789413773477519,0.7567567567567568,0.8195121951219513,0.8911024082473148,0.9789413773477519,0.7567567567567568,0.8195121951219513,0.901781806128936
32,0.9783722253841776,0.7837837837837838,0.8207547169811322,0.9109398962431068,0.9806488332384746,0.7567567567567568,0.8316831683168316,0.9189071058642542,0.9806488332384746,0.7837837837837838,0.8365384615384617,0.9121425542926985,0.9795105293113261,0.7837837837837838,0.8285714285714285,0.9159055948260774,0.9783722253841776,0.7477477477477478,0.8137254901960784,0.9067541347689931,0.9795105293113261,0.7567567567567568,0.823529411764706,0.9171265216194597
33,0.9795105293113261,0.7387387387387387,0.8200000000000001,0.8813734669859836,0.9789413773477519,0.7297297297297297,0.8140703517587939,0.8903050348015188,0.981217985202049,0.7477477477477478,0.8341708542713568,0.8819398114709681,0.9800796812749004,0.7297297297297297,0.8223350253807107,0.8939022885215973,0.9789413773477519,0.7297297297297297,0.8140703517587939,0.8905103790160235,0.9789413773477519,0.7477477477477478,0.8177339901477833,0.8813864311589962
34,0.9783722253841776,0.7297297297297297,0.81,0.8600495650123656,0.9766647694934547,0.6846846846846847,0.7875647668393783,0.8653384179362349,0.9783722253841776,0.7117117117117117,0.8061224489795918,0.8504674429184255,0.9766647694934547,0.7027027027027027,0.7918781725888325,0.8619355121802151,0.9766647694934547,0.7027027027027027,0.7918781725888325,0.8550200918892258,0.9783722253841776,0.6936936936936937,0.8020833333333333,0.8523748774388933
35,0.9789413773477519,0.7387387387387387,0.8159203980099503,0.9099198081908301,0.9800796812749004,0.7477477477477478,0.8258706467661691,0.8998597939678286,0.9817871371656233,0.7387387387387387,0.836734693877551,0.9085238924502396,0.9806488332384746,0.7297297297297297,0.826530612244898,0.9095611222697386,0.9795105293113261,0.7207207207207207,0.8163265306122449,0.9099457830991976,0.9806488332384746,0.7387387387387387,0.8282828282828283,0.9033839761553255
36,0.9800796812749004,0.7657657657657657,0.8292682926829268,0.9149030755453994,0.9800796812749004,0.7387387387387387,0.8241206030150755,0.8882019478545967,0.981217985202049,0.7477477477477478,0.8341708542713568,0.9191489782082435,0.9795105293113261,0.7477477477477478,0.8217821782178218,0.9001834126438181,0.9840637450199203,0.7657657657657657,0.8585858585858586,0.9194598598740151,0.9806488332384746,0.7747747747747747,0.8349514563106797,0.9086190305333839
37,0.9789413773477519,0.7297297297297297,0.8140703517587939,0.8782238208007513,0.977233921457029,0.7297297297297297,0.8019801980198019,0.8770788141957742,0.9795105293113261,0.7027027027027027,0.8125,0.8841332010378281,0.9783722253841776,0.7297297297297297,0.81,0.8778103882756103,0.9789413773477519,0.7027027027027027,0.8082901554404146,0.8833168531498607,0.9766647694934547,0.7027027027027027,0.7918781725888325,0.8743072718771568
38,0.9778030734206034,0.8198198198198198,0.8235294117647058,0.9033206944797474,0.981217985202049,0.8018018018018018,0.8436018957345972,0.9180086542980566,0.9817871371656233,0.8378378378378378,0.8532110091743118,0.9219442167788386,0.9789413773477519,0.8108108108108109,0.8294930875576036,0.9118147271500762,0.981217985202049,0.8288288288288288,0.847926267281106,0.9178457991826324,0.9800796812749004,0.7927927927927928,0.8341232227488151,0.911850103832055
39,0.9783722253841776,0.7837837837837838,0.8207547169811322,0.9070882406122343,0.9817871371656233,0.7927927927927928,0.8461538461538461,0.9262350839577869,0.9817871371656233,0.7657657657657657,0.8415841584158416,0.9164859101037771,0.9823562891291975,0.7747747747747747,0.8472906403940887,0.9162246330986171,0.9806488332384746,0.7747747747747747,0.8349514563106797,0.9189181792112274,0.981217985202049,0.7927927927927928,0.8421052631578948,0.9216506071940054
40,0.974957313602732,0.7117117117117117,0.7821782178217822,0.8838863027326417,0.9755264655663062,0.7297297297297297,0.7902439024390245,0.8932109355873161,0.9760956175298805,0.7207207207207207,0.7920792079207921,0.8796014436603146,0.9760956175298805,0.7117117117117117,0.7899999999999999,0.876661427559401,0.9760956175298805,0.7207207207207207,0.7920792079207921,0.8876393141075586,0.9789413773477519,0.7567567567567568,0.8195121951219513,0.8860220214529557
41,0.9795105293113261,0.7297297297297297,0.8181818181818181,0.8942099187636752,0.9829254410927718,0.7657657657657657,0.85,0.9087561511826928,0.981217985202049,0.7477477477477478,0.8341708542713568,0.8937453906602127,0.9795105293113261,0.7207207207207207,0.8163265306122449,0.894797542947089,0.981217985202049,0.7297297297297297,0.8307692307692307,0.8961366068028251,0.9755264655663062,0.6846846846846847,0.7794871794871795,0.8894670355462669
42,0.981217985202049,0.7657657657657657,0.8374384236453201,0.8921901857362627,0.9806488332384746,0.7567567567567568,0.8316831683168316,0.898137742976278,0.983494593056346,0.7927927927927928,0.8585365853658538,0.8939616697128562,0.9829254410927718,0.7747747747747747,0.8514851485148515,0.8971743868892014,0.9829254410927718,0.7747747747747747,0.8514851485148515,0.8860516167808815,0.9817871371656233,0.7567567567567568,0.8400000000000001,0.8913558485552401
43,0.9783722253841776,0.7387387387387387,0.8118811881188119,0.882308797924605,0.9795105293113261,0.7297297297297297,0.8181818181818181,0.8965515390600631,0.981217985202049,0.7657657657657657,0.8374384236453201,0.8946105063903059,0.9783722253841776,0.7387387387387387,0.8118811881188119,0.8818688990315007,0.9778030734206034,0.7207207207207207,0.8040201005025126,0.8957808337661515,0.9806488332384746,0.7387387387387387,0.8282828282828283,0.8927966996182608
44,0.9806488332384746,0.7567567567567568,0.8316831683168316,0.9039827891832344,0.9795105293113261,0.7207207207207207,0.8163265306122449,0.9105433831016038,0.9829254410927718,0.7747747747747747,0.8514851485148515,0.9158426857125889,0.9806488332384746,0.7387387387387387,0.8282828282828283,0.9201959756519992,0.9795105293113261,0.7207207207207207,0.8163265306122449,0.9005979510286427,0.9778030734206034,0.7297297297297297,0.8059701492537312,0.8997565379269612
45,0.9778030734206034,0.7657657657657657,0.8133971291866028,0.8886091238868623,0.981217985202049,0.7837837837837838,0.8405797101449275,0.8994471351913417,0.9795105293113261,0.7657657657657657,0.825242718446602,0.8933066792320653,0.9783722253841776,0.7657657657657657,0.8173076923076923,0.8999369826013928,0.9800796812749004,0.7747747747747747,0.8309178743961353,0.896492668719869,0.9783722253841776,0.7657657657657657,0.8173076923076923,0.8889828681182967
46,0.9806488332384746,0.7747747747747747,0.8349514563106797,0.9163829103335079,0.981217985202049,0.7567567567567568,0.835820895522388,0.9377022964342001,0.9852020489470689,0.8108108108108109,0.8737864077669902,0.9296754203144904,0.9829254410927718,0.7657657657657657,0.85,0.9281392164598864,0.983494593056346,0.7837837837837838,0.8571428571428571,0.9229308686352875,0.9829254410927718,0.7567567567567568,0.8484848484848485,0.9232067966921386
47,0.9800796812749004,0.7657657657657657,0.8292682926829268,0.9357340677960417,0.9800796812749004,0.7657657657657657,0.8292682926829268,0.9399153912287465,0.983494593056346,0.8018018018018018,0.8599033816425121,0.9404748992696255,0.983494593056346,0.8198198198198198,0.862559241706161,0.9287405186228428,0.9823562891291975,0.8018018018018018,0.8516746411483254,0.933647780828142,0.9817871371656233,0.7927927927927928,0.8461538461538461,0.9408665620250788
48,0.983494593056346,0.7927927927927928,0.8585365853658538,0.930630501935016,0.983494593056346,0.8018018018018018,0.8599033816425121,0.9300826297863093,0.981217985202049,0.7747747747747747,0.8390243902439024,0.9228106854364098,0.981217985202049,0.7567567567567568,0.835820895522388,0.9281905785701582,0.9817871371656233,0.7657657657657657,0.8415841584158416,0.9276215404748532,0.977233921457029,0.7297297297297297,0.8019801980198019,0.9169778653166893
49,0.9760956175298805,0.7297297297297297,0.7941176470588235,0.8791922987586902,0.9806488332384746,0.7747747747747747,0.8349514563106797,0.8988649397349731,0.9760956175298805,0.7297297297297297,0.7941176470588235,0.8836117712512347,0.977233921457029,0.7387387387387387,0.803921568627451,0.8898374091903469,0.9743881616391576,0.7027027027027027,0.7761194029850748,0.8765762995989924,0.9755264655663062,0.7117117117117117,0.7860696517412935,0.8710074461525729
50,0.9806488332384746,0.8018018018018018,0.8396226415094339,0.9212960099623907,0.9846328969834945,0.7927927927927928,0.8669950738916256,0.9317081026014424,0.9829254410927718,0.8018018018018018,0.8557692307692306,0.9306587842000666,0.9829254410927718,0.7927927927927928,0.8543689320388349,0.9314223960519891,0.9829254410927718,0.7837837837837838,0.8529411764705881,0.9354342235629722,0.9806488332384746,0.7657657657657657,0.8333333333333334,0.9223577104386275
