random_state,lr_base_accuracy,lr_base_recall,lr_base_f1,lr_base_pr_auc,lr_single_pass_accuracy,lr_single_pass_recall,lr_single_pass_f1,lr_single_pass_pr_auc,lr_multi_agent_all_accuracy,lr_multi_agent_all_recall,lr_multi_agent_all_f1,lr_multi_agent_all_pr_auc,lr_multi_agent_lc_accuracy,lr_multi_agent_lc_recall,lr_multi_agent_lc_f1,lr_multi_agent_lc_pr_auc,lr_multi_agent_cc_accuracy,lr_multi_agent_cc_recall,lr_multi_agent_cc_f1,lr_multi_agent_cc_pr_auc,lr_multi_agent_ls_accuracy,lr_multi_agent_ls_recall,lr_multi_agent_ls_f1,lr_multi_agent_ls_pr_auc
30,0.9738190096755834,0.8738738738738738,0.8083333333333333,0.9155123791413254,0.9692657939669892,0.8828828828828829,0.784,0.9138802319313609,0.9743881616391576,0.8828828828828829,0.8132780082987553,0.9192709724123903,0.9760956175298805,0.8738738738738738,0.8220338983050848,0.9176849890255618,0.9760956175298805,0.8738738738738738,0.8220338983050848,0.9164025795126886,0.9715424018212863,0.8738738738738738,0.7950819672131147,0.9167805169611338
31,0.9704040978941377,0.8648648648648649,0.7868852459016393,0.9032775284208415,0.9692657939669892,0.8738738738738738,0.7822580645161291,0.90016112740584,0.9715424018212863,0.8918918918918919,0.7983870967741936,0.8988844440799211,0.9681274900398407,0.8738738738738738,0.7759999999999999,0.9041837261348205,0.9704040978941377,0.8828828828828829,0.7903225806451613,0.8951099835535636,0.9686966420034149,0.8648648648648649,0.7773279352226721,0.9035120385117753
32,0.9715424018212863,0.918918918918919,0.8031496062992127,0.9199379607390085,0.970973249857712,0.9279279279279279,0.801556420233463,0.9198466521464295,0.970973249857712,0.9099099099099099,0.7984189723320158,0.925042574511564,0.9692657939669892,0.9099099099099099,0.7890625,0.9220367975207181,0.9738190096755834,0.9279279279279279,0.8174603174603174,0.9242162525730935,0.9726807057484348,0.9279279279279279,0.8110236220472441,0.9245575916322966
33,0.9630051223676722,0.8288288288288288,0.7389558232931728,0.8773601916503945,0.960728514513375,0.8378378378378378,0.7294117647058824,0.8745813076473746,0.9641434262948207,0.8378378378378378,0.746987951807229,0.8902487672408959,0.9641434262948207,0.8288288288288288,0.7449392712550607,0.8855142164483474,0.9612976664769494,0.8378378378378378,0.7322834645669292,0.8899908787595634,0.9624359704040979,0.8378378378378378,0.7380952380952381,0.8815588158061676
34,0.9635742743312464,0.8018018018018018,0.7355371900826447,0.8615812883043642,0.9664200341491178,0.8288288288288288,0.757201646090535,0.8738361584860148,0.9698349459305634,0.8288288288288288,0.7763713080168775,0.8714870301876914,0.9692657939669892,0.8108108108108109,0.7692307692307694,0.8681948338531185,0.9686966420034149,0.8198198198198198,0.7679324894514767,0.8698047583077849,0.9675583380762663,0.8198198198198198,0.7615062761506276,0.8653845962411131
35,0.9732498577120091,0.8378378378378378,0.7982832618025751,0.9007113243946251,0.9726807057484348,0.8288288288288288,0.793103448275862,0.897750093463339,0.9738190096755834,0.8378378378378378,0.8017241379310346,0.907972088614923,0.974957313602732,0.8378378378378378,0.808695652173913,0.9062329052052118,0.974957313602732,0.8378378378378378,0.808695652173913,0.9069257420070267,0.9715424018212863,0.8378378378378378,0.7881355932203389,0.907081491194122
36,0.970973249857712,0.8828828828828829,0.7935222672064777,0.9237124669349768,0.970973249857712,0.9009009009009009,0.796812749003984,0.9202567371366981,0.9721115537848606,0.8828828828828829,0.7999999999999999,0.9252889383908015,0.9721115537848606,0.8918918918918919,0.8016194331983806,0.9247573083434065,0.9704040978941377,0.8648648648648649,0.7868852459016393,0.9252181886538433,0.9704040978941377,0.9009009009009009,0.7936507936507937,0.9254044908725652
37,0.9726807057484348,0.8198198198198198,0.7913043478260868,0.887563007809813,0.9698349459305634,0.8468468468468469,0.7800829875518672,0.8931232137855827,0.9715424018212863,0.8288288288288288,0.7863247863247862,0.8895721390463232,0.970973249857712,0.8198198198198198,0.7811158798283261,0.8888292354134938,0.970973249857712,0.8198198198198198,0.7811158798283261,0.8876792926676055,0.9692657939669892,0.8108108108108109,0.7692307692307694,0.8876764704006461
38,0.9692657939669892,0.9009009009009009,0.7874015748031497,0.9283636780440917,0.9704040978941377,0.9099099099099099,0.795275590551181,0.9368099651912726,0.9721115537848606,0.918918918918919,0.8063241106719369,0.928348605610344,0.9704040978941377,0.9009009009009009,0.7936507936507937,0.926636810917535,0.9732498577120091,0.918918918918919,0.8127490039840637,0.9261928226241828,0.9715424018212863,0.9099099099099099,0.8015873015873017,0.9220099020131024
39,0.9721115537848606,0.8828828828828829,0.7999999999999999,0.9092336781659188,0.9704040978941377,0.8918918918918919,0.7919999999999999,0.9134760311307066,0.9698349459305634,0.8558558558558559,0.7818930041152263,0.910052352703469,0.9698349459305634,0.8738738738738738,0.7854251012145749,0.9128097960787068,0.9732498577120091,0.8648648648648649,0.803347280334728,0.909465946494341,0.9715424018212863,0.8828828828828829,0.7967479674796748,0.9083043999992901
