model,comparison,group_A,group_B,metric,n_iters,mean_A,mean_B,mean_diff,t_statistic,p_value,cohens_d,ci_95_lower,ci_95_upper,significant
MLP,base → single_pass,base,single_pass,f1,50,0.845035,0.850151,0.005116,2.0056,0.0504,0.2836,-1e-05,0.010243,No
MLP,base → single_pass,base,single_pass,pr_auc,50,0.910785,0.916672,0.005886,2.5314,0.0146,0.358,0.001213,0.01056,Yes
MLP,base → multi_agent_all,base,multi_agent_all,accuracy,50,0.98074,0.980558,-0.000182,-0.5248,0.6021,-0.0742,-0.00088,0.000515,No
MLP,base → multi_agent_all,base,multi_agent_all,recall,50,0.830991,0.832613,0.001622,0.5098,0.6125,0.0721,-0.00477,0.008013,No
MLP,base → multi_agent_all,base,multi_agent_all,f1,50,0.845035,0.844034,-0.001,-0.3752,0.7092,-0.0531,-0.006358,0.004358,No
MLP,base → multi_agent_all,base,multi_agent_all,pr_auc,50,0.910785,0.912924,0.002138,0.9443,0.3496,0.1335,-0.002412,0.006689,No
MLP,single_pass → multi_agent_all,single_pass,multi_agent_all,accuracy,50,0.981309,0.980558,-0.000751,-2.2916,0.0263,-0.3241,-0.00141,-9.2e-05,Yes
MLP,single_pass → multi_agent_all,single_pass,multi_agent_all,recall,50,0.839459,0.832613,-0.006847,-2.8757,0.006,-0.4067,-0.011631,-0.002062,Yes
MLP,single_pass → multi_agent_all,single_pass,multi_agent_all,f1,50,0.850151,0.844034,-0.006116,-2.5037,0.0157,-0.3541,-0.011026,-0.001207,Yes
MLP,single_pass → multi_agent_all,single_pass,multi_agent_all,pr_auc,50,0.916672,0.912924,-0.003748,-3.7917,0.0004,-0.5362,-0.005735,-0.001762,Yes
MLP,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,accuracy,50,0.980524,0.980558,3.4e-05,0.1555,0.8771,0.022,-0.000407,0.000476,No
MLP,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,recall,50,0.831351,0.832613,0.001261,0.6031,0.5492,0.0853,-0.002941,0.005464,No
MLP,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,f1,50,0.843673,0.844034,0.000361,0.2196,0.8271,0.0311,-0.002945,0.003667,No
MLP,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,pr_auc,50,0.912941,0.912924,-1.8e-05,-0.0254,0.9798,-0.0036,-0.001403,0.001368,No
MLP,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,accuracy,50,0.980729,0.980558,-0.000171,-0.634,0.529,-0.0897,-0.000712,0.00037,No
MLP,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,recall,50,0.839459,0.832613,-0.006847,-2.8927,0.0057,-0.4091,-0.011603,-0.00209,Yes
MLP,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,f1,50,0.846322,0.844034,-0.002287,-1.1541,0.2541,-0.1632,-0.006269,0.001695,No
