random_state,mlp_base_accuracy,mlp_base_recall,mlp_base_f1,mlp_base_pr_auc,mlp_single_pass_accuracy,mlp_single_pass_recall,mlp_single_pass_f1,mlp_single_pass_pr_auc,mlp_multi_agent_all_accuracy,mlp_multi_agent_all_recall,mlp_multi_agent_all_f1,mlp_multi_agent_all_pr_auc,mlp_multi_agent_lc_accuracy,mlp_multi_agent_lc_recall,mlp_multi_agent_lc_f1,mlp_multi_agent_lc_pr_auc,mlp_multi_agent_cc_accuracy,mlp_multi_agent_cc_recall,mlp_multi_agent_cc_f1,mlp_multi_agent_cc_pr_auc,mlp_multi_agent_ls_accuracy,mlp_multi_agent_ls_recall,mlp_multi_agent_ls_f1,mlp_multi_agent_ls_pr_auc
29,0.9840637450199203,0.8558558558558559,0.8715596330275229,0.940942588949286,0.9829254410927718,0.8648648648648649,0.8648648648648649,0.9327265754762091,0.9817871371656233,0.8378378378378378,0.8532110091743118,0.911800327242111,0.9829254410927718,0.8558558558558559,0.8636363636363636,0.9186848676677709,0.9823562891291975,0.8828828828828829,0.8634361233480176,0.9170312308197699,0.9823562891291975,0.8378378378378378,0.8571428571428571,0.9111095571078976
30,0.9829254410927718,0.8558558558558559,0.8636363636363636,0.9290097610860133,0.9823562891291975,0.8558558558558559,0.8597285067873303,0.9206102535771921,0.983494593056346,0.8558558558558559,0.867579908675799,0.9274411892043182,0.9829254410927718,0.8468468468468469,0.8623853211009174,0.9250770592476855,0.9800796812749004,0.8558558558558559,0.8444444444444446,0.925103202081195,0.9829254410927718,0.8648648648648649,0.8648648648648649,0.9284954906720836
31,0.9789413773477519,0.8738738738738738,0.8398268398268398,0.9268099905418015,0.9800796812749004,0.8558558558558559,0.8444444444444446,0.9221047153861232,0.9806488332384746,0.8468468468468469,0.8468468468468469,0.9239613833288478,0.9800796812749004,0.8468468468468469,0.8430493273542602,0.9248116864989464,0.981217985202049,0.8558558558558559,0.852017937219731,0.9081221505887936,0.9783722253841776,0.8198198198198198,0.8272727272727273,0.9199784913158714
32,0.9800796812749004,0.8288288288288288,0.8401826484018264,0.9211014387106479,0.9800796812749004,0.8558558558558559,0.8444444444444446,0.9172977576474332,0.9829254410927718,0.8558558558558559,0.8636363636363636,0.9231889311675545,0.9817871371656233,0.8558558558558559,0.8558558558558559,0.9255672698134293,0.981217985202049,0.8468468468468469,0.8506787330316742,0.9240709986522054,0.9823562891291975,0.8468468468468469,0.8584474885844748,0.9251599803965227
33,0.9789413773477519,0.7837837837837838,0.8246445497630331,0.8813730784472468,0.9795105293113261,0.8198198198198198,0.8348623853211008,0.9033134659190419,0.9766647694934547,0.8018018018018018,0.812785388127854,0.9021362884803087,0.9738190096755834,0.8108108108108109,0.7964601769911505,0.8948576179618634,0.9783722253841776,0.8108108108108109,0.8256880733944955,0.8990927331034195,0.9738190096755834,0.7747747747747747,0.7889908256880734,0.8917129773041274
34,0.9738190096755834,0.7567567567567568,0.7850467289719626,0.8723834046408941,0.9743881616391576,0.7837837837837838,0.7945205479452055,0.876903439783875,0.9715424018212863,0.7477477477477478,0.7685185185185186,0.8672132495152048,0.970973249857712,0.7477477477477478,0.7649769585253458,0.8649601456924245,0.9715424018212863,0.7477477477477478,0.7685185185185186,0.8736437708744119,0.9732498577120091,0.7657657657657657,0.783410138248848,0.8642723966781817
35,0.9817871371656233,0.8108108108108109,0.8490566037735849,0.901316566118637,0.9823562891291975,0.8288288288288288,0.8558139534883721,0.9115156559502882,0.9823562891291975,0.8198198198198198,0.8544600938967136,0.9065491254932331,0.9829254410927718,0.8108108108108109,0.8571428571428571,0.9073286538110257,0.9829254410927718,0.8108108108108109,0.8571428571428571,0.9033148894484143,0.9817871371656233,0.8018018018018018,0.8476190476190476,0.9021525160930188
36,0.9817871371656233,0.8198198198198198,0.850467289719626,0.9181399402590524,0.9800796812749004,0.7927927927927928,0.8341232227488151,0.9323125555079098,0.9778030734206034,0.8018018018018018,0.8202764976958524,0.911211115405772,0.981217985202049,0.8018018018018018,0.8436018957345972,0.917619870463656,0.9846328969834945,0.8108108108108109,0.8695652173913043,0.9270088768899545,0.977233921457029,0.7837837837837838,0.8130841121495326,0.9134031459222812
37,0.9823562891291975,0.8108108108108109,0.8530805687203792,0.8963569927205853,0.9800796812749004,0.8108108108108109,0.8372093023255813,0.8946065226016754,0.9800796812749004,0.8288288288288288,0.8401826484018264,0.8874682132197859,0.9789413773477519,0.8198198198198198,0.8310502283105022,0.8891498785216766,0.9783722253841776,0.8108108108108109,0.8256880733944955,0.8926430278549811,0.9789413773477519,0.7927927927927928,0.8262910798122066,0.8828801203586162
38,0.9829254410927718,0.8558558558558559,0.8636363636363636,0.9363759923628212,0.9829254410927718,0.8738738738738738,0.8660714285714286,0.9429423155908567,0.9829254410927718,0.8558558558558559,0.8636363636363636,0.9413505238037996,0.9840637450199203,0.8738738738738738,0.8738738738738738,0.9398282240236224,0.9829254410927718,0.8558558558558559,0.8636363636363636,0.9388484848917406,0.9846328969834945,0.8558558558558559,0.8755760368663594,0.9396627658861948
